,longitude,latitude,city,state,country
0,42.536457,-70.985786,Peabody, MA, USA
1,42.328674,-72.664658,Northampton, MA, USA
2,42.341042,-71.217133,Newton, MA, USA
3,42.810356,-70.893875,Newburyport, MA, USA
4,41.638409,-70.941208,New Bedford, MA, USA
5,42.419331,-71.11972,Medford, MA, USA
6,42.429752,-71.071022,Malden, MA, USA
7,42.525482,-71.764183,Leominster, MA, USA
8,42.701283,-71.175682,Lawrence, MA, USA
9,42.203217,-72.625481,Holyoke, MA, USA
10,42.587334,-72.603416,Greenfield, MA, USA
11,42.280418,-71.423233,Framingham, MA, USA
12,42.586716,-71.814468,Fitchburg, MA, USA
13,42.408623,-71.056999,Everett, MA, USA
14,42.392925,-71.037109,Chelsea, MA, USA
15,42.856842,-70.96344,Amesbury, MA, USA
16,38.981544,-77.010674,Takoma Park, MD, USA
17,38.36335,-75.605919,Salisbury, MD, USA
18,39.086437,-77.161263,Rockville, MD, USA
19,39.644207,-77.73143,Hagerstown, MD, USA
20,38.998318,-76.896332,Greenbelt, MD, USA
21,39.649109,-78.769714,Cumberland, MD, USA
22,38.563461,-76.085251,Cambridge, MD, USA
23,39.514877,-76.17411,Aberdeen, MD, USA
24,46.680672,-68.023521,Presque Isle, ME, USA
25,43.680031,-70.310425,Portland, ME, USA
26,44.101902,-70.21711,Lewiston, ME, USA
27,44.230553,-69.779633,Gardiner, ME, USA
28,44.90691,-66.996201,Eastport, ME, USA
29,45.188042,-67.282753,Calais, ME, USA
30,43.489849,-70.469711,Biddeford, ME, USA
31,44.42477,-69.01062,Belfast, ME, USA
32,43.917503,-69.829712,Bath, ME, USA
33,44.331493,-69.788994,Augusta, ME, USA
34,44.090008,-70.271439,Auburn, ME, USA
35,29.795111,-90.82814,Thibodaux, LA, USA
36,30.124033,-91.833435,St Martinville, LA, USA
37,29.706043,-91.206917,Morgan City, LA, USA
38,32.50993,-92.121742,Monroe, LA, USA
39,29.916653,-90.057854,Gretna, LA, USA
40,32.778889,-91.919243,Bastrop, LA, USA
41,31.284788,-92.471176,Alexandria, LA, USA
42,37.74688,-84.30146,Richmond, KY, USA
43,38.206348,-84.270172,Paris, KY, USA
44,37.760586,-87.127686,Owensboro, KY, USA
45,39.08897,-84.500786,Newport, KY, USA
46,36.616894,-83.739494,Middlesboro, KY, USA
47,36.739876,-88.646523,Mayfield, KY, USA
48,37.569702,-85.743095,Hodgenville, KY, USA
49,37.250626,-83.195503,Hazard, KY, USA
50,37.76627,-84.852119,Harrodsburg, KY, USA
51,36.843681,-83.324593,Harlan, KY, USA
52,38.192902,-84.883942,Frankfort, KY, USA
53,37.703224,-85.871674,Elizabethtown, KY, USA
54,39.067719,-84.516426,Covington, KY, USA
55,37.344158,-85.346436,Campbellsville, KY, USA
56,36.976524,-86.456017,Bowling Green, KY, USA
57,37.569199,-84.299782,Berea, KY, USA
58,37.820415,-85.467949,Bardstown, KY, USA
59,36.869038,-83.892479,Barbourville, KY, USA
60,38.460304,-82.649666,Ashland, KY, USA
61,39.779823,-98.787064,Smith Center, KS, USA
62,38.826633,-97.616257,Salina, KS, USA
63,37.406769,-94.705528,Pittsburg, KS, USA
64,38.604465,-95.271301,Ottawa, KS, USA
65,38.497746,-94.960602,Osawatomie, KS, USA
66,38.047016,-97.350304,Newton, KS, USA
67,39.313015,-94.941147,Leavenworth, KS, USA
68,38.960213,-95.27739,Lawrence, KS, USA
69,39.026646,-96.852814,Junction City, KS, USA
70,38.88509,-99.326202,Hays, KS, USA
71,38.364895,-98.7743,Great Bend, KS, USA
72,37.838108,-94.710022,Fort Scott, KS, USA
73,38.405903,-96.188339,Emporia, KS, USA
74,37.753098,-100.024872,Dodge City, KS, USA
75,38.661697,-96.492599,Council Grove, KS, USA
76,37.679878,-95.459778,Chanute, KS, USA
77,39.563606,-95.125549,Atchison, KS, USA
78,41.57983,-93.791328,West Des Moines, IA, USA
79,42.464397,-93.829056,Webster City, IA, USA
80,42.499504,-92.358665,Waterloo, IA, USA
81,42.495132,-96.40007,Sioux City, IA, USA
82,41.016621,-92.43055,Ottumwa, IA, USA
83,41.299023,-92.653198,Oskaloosa, IA, USA
84,41.703957,-93.054817,Newton, IA, USA
85,40.969242,-91.55542,Mount Pleasant, IA, USA
86,40.407204,-91.410805,Keokuk, IA, USA
87,41.746952,-92.729362,Grinnell, IA, USA
88,42.512745,-94.188148,Fort Dodge, IA, USA
89,43.4035,-94.843323,Estherville, IA, USA
90,42.516033,-90.718506,Dubuque, IA, USA
91,41.250854,-95.882042,Council Bluffs, IA, USA
92,41.827965,-90.249619,Clinton, IA, USA
93,42.754681,-95.557831,Cherokee, IA, USA
94,43.066807,-92.683464,Charles City, IA, USA
95,40.810947,-91.131844,Burlington, IA, USA
96,42.06065,-93.88549,Boone, IA, USA
97,40.800262,-85.830887,Wabash, IN, USA
98,38.678299,-87.522491,Vincennes, IN, USA
99,41.483845,-87.063965,Valparaiso, IN, USA
